7546411	-73.633333	9.35	CO	G
7903057	-78.5	-0.22	EC	H
7903057	-79.08	-2.9	EC	H
8391621	-92.4665	39.010716	US	H
3190164	150.0381	-22.2697	AU	H
3020532	19.9692	67.7018	SE	H
3020532	19.9572	67.7144	SE	H
3020532	19.9675	67.7056	SE	H
3020532	19.9651	67.7094	SE	H
3020532	19.9623	67.714	SE	H
3020532	19.9602	67.7173	SE	H
3020532	19.9756	67.7184	SE	H
3020532	19.9629	67.718	SE	H
2928390	-121.83333	50.83333	CA	H
2876032	-71.216667	48.45	CA	H
6422427	-97.87277	21.086496	MX	H
2755693	-84.53	10.21	CR	H
2755693	-84.5	10.36	CR	H
3190164	150.0381	-22.2697	AU	H
7683366	-143.83588609790772	67.38304458197459	US	H
5290276	-141.91667	67.18333	US	H
7683366	-149.7527359594546	67.5996197013412	US	H
7683366	-149.7527768017306	67.93295941817902	US	H
7683366	-165.71974018324715	68.13267008176011	US	H
5290276	-165.96982988168747	68.74935250650871	US	H
7683366	-165.45308383281497	68.2493483991368	US	H
5290276	-143.95267709076202	68.38307268388506	US	H
7683366	-143.71937338510014	68.64975484166784	US	H
7355982	-143.75269809267036	68.59975272896078	US	H
7355982	-143.7	69.75	US	H
7355982	-145.01949758549227	69.29975333000797	US	H
5290276	-149.00307981665654	70.24971455840468	US	H
7355982	-156	69.83333	US	H
5290276	-144.83618884831824	69.56643499392976	US	H
5290276	-143.6693824294903	68.73308827765449	US	H
5290276	-157.33647886412672	69.46620759110068	US	H
5290276	-157.40330979447498	70.46623755771124	US	H
7683366	-148.7529208626847	69.21635596955274	US	H
7683366	-144.5528203662736	69.34976286382994	US	H
5290276	-163.8365098224991	69.03273156946585	US	H
7683366	-152.13635608969392	69.36630021763652	US	H
